Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Safeway 14th St,"415 14th St SE, Washington, DC 20003, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",38.8836229,-76.985799,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway 4th St SW,"1100 4th St SW, Washington, DC 20024, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",38.8776018,-77.0173133,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Salisbury,"751 S Salisbury Blvd, Salisbury, MD 21801, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",38.3548239,-75.5992574,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Fort Lee,"2160 Lemoine Avenue, Fort Lee, NJ 07024, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",40.8560581,-73.9651878,40.2129877,-76.0802754,40.2076711,-76.1532554
Kings 650 Valley Rd,"650 Valley Road, Montclair, NJ 07043, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",40.843542,-74.208128,40.2129877,-76.0802754,40.2076711,-76.1532554
Kings 70 Union Ave,"70 Union Avenue, Cresskill, NJ 07626, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",40.9409025,-73.9603205,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Nutley St,"3043 Nutley Street, Fairfax, VA 22031, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",38.8709568,-77.2625505,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Wilson Blvd,"1525 Wilson Blvd, Arlington, VA 22205, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",38.8951935,-77.0753931,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Redland Blvd,"403 Redland Blvd, Rockville, MD 20850, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",39.1129515,-77.1716447,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Fairwood Pkwy,"12410 Fairwood Pkwy, Bowie, MD 20720, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",38.9651185,-76.7892636,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Saddle Brook,"75 Mayhill Street, Saddle Brook, NJ 07663, USA","500 South Muddy Creek Road, Denver, PA 17517","400 Wabash Road, Ephrata, PA 17522",40.8992866,-74.0922138,40.2129877,-76.0802754,40.2076711,-76.1532554
