Name,DC or DSD,Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Safeway 14th St - Picadeli # 8589 / Customer # 3217,DC,Safeway 14th St,"415 14th St SE, Washington, DC 20003, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.8836229,-76.9857990,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway 4th St SW - Picadeli # 8597 / Customer # 2892,DC,Safeway 4th St SW,"1100 4th St SW, Washington, DC 20024, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.8776018,-77.0173133,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Salisbury - Picadeli # 8598 / Customer # 896,DC,ACME Salisbury,"751 S Salisbury Blvd, Salisbury, MD 21801, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.3548239,-75.5992574,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Fort Lee - Picadeli # 8599 / Customer # 1065,DC,ACME Fort Lee,"2160 Lemoine Avenue, Fort Lee, NJ 07024, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",40.8560581,-73.9651878,40.2129877,-76.0802754,40.2076711,-76.1532554
Kings 650 Valley Rd - Picadeli # 8600 / Customer # 3633,DC,Kings 650 Valley Rd,"650 Valley Road, Montclair, NJ 07043, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",40.8435420,-74.2081280,40.2129877,-76.0802754,40.2076711,-76.1532554
Kings 70 Union Ave - Picadeli # 8601 / Customer # 3616,DC,Kings 70 Union Ave,"70 Union Avenue, Cresskill, NJ 07626, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",40.9409025,-73.9603205,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Nutley St - Picadeli # 9469 / Customer # 2616,DC,Safeway Nutley St,"3043 Nutley Street, Fairfax, VA 22031, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.8709568,-77.2625505,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Wilson Blvd - Picadeli # 9471 / Customer # 1048,DC,Safeway Wilson Blvd,"1525 Wilson Blvd, Arlington, VA 22205, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.8951935,-77.0753931,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Redland Blvd - Picadeli # 9472 / Customer # 1715,DC,Safeway Redland Blvd,"403 Redland Blvd, Rockville, MD 20850, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",39.1129515,-77.1716447,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Fairwood Pkwy - Picadeli # 9473 / Customer # 2713,DC,Safeway Fairwood Pkwy,"12410 Fairwood Pkwy, Bowie, MD 20720, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.9651185,-76.7892636,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Saddle Brook - Picadeli # 9769 / Customer # 1992,DC,ACME Saddle Brook,"75 Mayhill Street, Saddle Brook, NJ 07663, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",40.8992866,-74.0922138,40.2129877,-76.0802754,40.2076711,-76.1532554
Safeway Crain Hwy - Picadeli # 9766 / Customer # 2795,DC,Safeway Crain Hwy,"7605 Crain Hwy, Upper Marlboro, MD 20772, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.7864052,-76.7941215,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Kenilworth Blvd - Picadeli # 10587 / Customer # 1096,DC,ACME Kenilworth Blvd,"801 Kenilworth Blvd, Kenilworth, NJ 07033, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",40.6779004,-74.2815694,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Coastal Hwy - Picadeli # 10590 / Customer # 2679,DC,ACME Coastal Hwy,"18578 Coastal Hwy Unit 13, Rehoboth Beach, DE 19971, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.7367346,-75.1436770,40.2129877,-76.0802754,40.2076711,-76.1532554
ACME Newark - Picadeli # 12046 / Customer # 806,DC,ACME Newark,"100 Suburban Drive, Newark, DE 19711, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",39.6679771,-75.7755768,40.2129877,-76.0802754,40.2076711,-76.1532554
